ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237657190370443919,4.87205050083162,-0.569746466899363,-5.651861,22.71789,21.77721,21.12079,20.19657,16.565,16.821,23.37746,23.16249,22.40209,12.319,0.402,9999,9999,9999,9999,9999,9999,25.58907,7.009179
1237657190370574569,5.12632348135162,-0.550017152801279,-110.4163,20.39735,19.84698,19.56501,19.22585,15.468,14.959,20.55239,20.05224,19.8138,11.556,0.212,9999,9999,9999,9999,9999,9999,21.12267,0.3723101
1237657190908231907,6.87269724021064,-0.147603404395912,-1.541735,20.63186,19.96397,19.7989,19.49096,15.154,13.949,20.63873,19.97906,19.83158,11.45,0.181,9999,9999,9999,9999,9999,9999,21.46576,0.9308157
1237657190908363096,7.26019257873253,-0.168294010340679,-0.01375387,20.55477,20.55564,20.39686,20.25461,17.275,15.909,20.56539,20.54991,20.40966,12.106,0.33,9999,9999,9999,9999,9999,9999,20.53849,1.867882
1237657190908428542,7.33483267896639,-0.174719034620376,-20991.93,16.79367,16.05191,15.61584,15.35104,13.3,12.758,18.98725,18.66384,18.17402,10.263,0.068,15.586,0.099,14.927,0.107,14.251,0.104,18.18061,0.06052436
1237657190910001349,10.9574315896205,-0.139645773900338,-0.3104098,22.37102,21.56958,20.96829,20.60561,16.868,16.717,22.53063,21.81855,21.16255,12.044,9999,9999,9999,9999,9999,9999,9999,22.7493,0.5612119
1237657191443988638,4.37362005251401,0.373796211768259,-22.76281,20.02018,19.65895,19.50212,19.17825,16.213,15.035,20.03329,19.66269,19.51363,11.907,0.264,9999,9999,9999,9999,9999,9999,21.50207,2.648914
1237657191445299437,7.40557762969206,0.236894641451694,-0.3894736,18.78102,18.72473,18.73862,18.63113,16.1,15.263,18.80461,18.73448,18.74874,11.681,0.238,9999,9999,9999,9999,9999,9999,19.3043,2.562234
1237657191445561461,7.91937231485963,0.326488094729316,-0.04031624,19.64598,19.54186,19.67795,19.93942,16.137,14.887,19.66743,19.53002,19.6833,11.68,0.225,9999,9999,9999,9999,9999,9999,19.54535,1.153093
1237657191447003412,11.1836169010633,0.217666441604361,-0.9388123,20.70597,20.06789,19.76508,19.36839,16.173,14.993,20.72593,20.09245,19.78351,11.376,9999,9999,9999,9999,9999,9999,9999,21.69102,2.277615
1237657191979548951,1.31880229622766,0.657207622107428,-80.45781,20.6823,19.76978,19.3995,19.00876,15.731,15.076,21.37076,20.5682,20.19251,12.366,0.465,9999,9999,9999,9999,9999,9999,21.39005,0.3184509
