ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237663784201748578,9.9213914146744,0.193051067359192,-15.32531,19.08369,18.01407,17.62762,17.40008,15.644,15.794,19.08241,18.01106,17.63517,12.421,9999,16.483,0.101,15.846,0.142,15.594,0.197,21.40179,-6.7704E-05
1237663784201748721,9.95162963556025,0.146202351274961,-7.658504,21.24085,19.61712,18.14464,17.17648,14.558,14.253,21.27922,19.70648,18.14652,12.171,9999,15.679,0.055,15.059,0.084,14.712,0.09,22.17904,-3.505715E-05
1237663784201814218,10.0946190564562,0.0791273360761361,-15.93696,18.91854,17.41753,16.55844,16.09111,13.901,13.83,18.91807,17.41122,16.57378,12.486,0.516,14.862,0.036,14.221,0.04,13.94,0.056,21.42313,-0.0001207482
1237663784201814307,10.159906326707,0.156962885014541,-0.7602982,20.5103,19.07441,17.80424,17.14421,14.842,14.679,20.5087,19.07519,17.79573,12.238,9999,15.87,0.088,15.281,0.113,14.945,0.118,22.69273,-5.56749E-06
1237663784201945096,10.3726451393898,0.0956096596626573,-7.727075,17.22692,16.84477,16.69526,16.64197,15.385,15.217,17.25101,16.86103,16.7016,12.226,9999,15.684,0.064,15.458,0.12,15.458,0.162,18.14566,-9.423677E-06
1237666245230723085,1.64345290724822,25.1694332406087,-5.944742,17.06289,16.83485,16.75724,16.73253,15.111,14.853,17.08598,16.84227,16.7676,12.459,0.441,15.935,0.095,15.791,0.198,15.225,9999,18.01649,-0.0004295592
1237666273661026334,11.123211497399,23.6386034224843,-9.961504,16.98888,16.42311,16.19849,16.13959,14.174,14.169,16.99673,16.45324,16.19197,12.973,9999,15.056,0.05,14.645,0.065,14.464,0.1,18.34045,9.469295E-05
1237666274734702672,11.0776036784728,24.5397450060566,-0.5363598,16.91324,16.54375,16.42343,16.36915,15.219,15.383,16.91715,16.55128,16.42881,12.723,9999,15.595,0.059,15.274,0.096,15.303,0.191,17.99276,-0.0002719318
1237666274734702857,11.0716991672996,24.4829568292841,-0.5011762,19.40713,18.82704,18.5475,18.3999,17.386,16.658,19.42037,18.83335,18.55106,12.934,9999,9999,9999,9999,9999,9999,9999,20.64167,8.78297E-06
1237666274735030288,11.7976729203007,24.4435483710961,-0.3777733,16.26014,15.88448,15.74735,15.72378,14.489,14.567,16.26199,15.88424,15.75297,12.735,0.501,14.851,0.038,14.603,0.055,14.75,0.103,17.41083,-0.0002543421
1237666308022665452,1.5856624798908,24.0562362839592,-2.219337,20.39362,18.92957,18.2748,17.91675,15.848,15.878,20.391,18.92464,18.2726,12.177,0.352,16.638,0.146,15.874,0.183,15.841,9999,23.11953,0.0003638591
1237666309633933721,3.32564571383892,25.3703974983014,-0.5972031,21.39047,19.95107,18.82962,18.23166,16.189,16.587,21.3845,19.944,18.82033,12.137,9999,16.477,0.126,15.626,9999,16.522,9999,23.59314,-8.964633E-05
1237667172390732323,3.36962843929173,-0.33535823125459,-5.239093,21.86243,20.37621,19.03768,18.2641,15.741,16.016,21.84711,20.37155,19.00782,12.555,9999,9999,9999,9999,9999,9999,9999,24.17198,-7.685713E-05
1237669516367954002,359.680349787516,6.27166577881951,-26.65218,17.28329,16.91805,16.76498,16.67859,15.404,15.795,17.3116,16.91122,16.75846,12.647,9999,15.853,0.089,15.646,0.147,15.415,0.189,18.37009,-0.0003411252
1237669517441630721,359.489439856764,7.19632523943268,-5.876398,22.75084,21.63423,20.57033,19.89211,15.852,15.543,23.62026,22.52241,21.35591,11.881,0.264,9999,9999,9999,9999,9999,9999,24.64483,-0.0004660548
1237669680113844348,359.30008867793,6.905771244014,-0.08017784,18.39275,18.0497,17.90994,17.83135,16.539,16.297,18.39921,18.05224,17.91493,12.558,9999,9999,9999,9999,9999,9999,9999,19.72118,-0.0003072978
1237669701583896681,7.13218826998633,7.00565699654914,-20.42446,18.29147,17.12445,16.63526,16.39085,14.305,14.43,18.30157,17.13653,16.64825,12.493,9999,15.143,0.041,14.501,0.059,14.404,0.088,20.69328,-2.993995E-05
1237669701584814179,9.31378578521606,6.91692722021725,-131.4131,16.43686,15.686,15.42383,15.29089,13.683,13.702,16.45008,15.68587,15.41384,12.022,0.381,14.327,0.028,13.783,0.04,13.659,0.045,18.47266,-0.0001736867
1237669701584879714,9.48244627410827,7.04670970862214,-1.950369,18.97433,18.36645,18.10708,17.96728,16.397,15.461,18.98218,18.36673,18.09662,12.115,9999,9999,9999,9999,9999,9999,9999,20.20133,-0.0001771046
1237669702121291875,8.38522423639796,7.27898724126953,-4.551654,18.5287,17.96672,17.72217,17.54828,16.066,16.428,18.51699,17.9943,17.72927,12.248,9999,16.49,0.139,15.939,9999,15.662,0.246,19.80939,-0.0006898217
1237669702657900546,7.71408837437633,7.8414255829591,-52.62452,16.71235,15.91094,15.5695,15.37631,13.587,13.582,16.73105,15.9054,15.55654,11.763,9999,14.338,0.036,13.737,0.045,13.743,0.044,18.66289,-0.0004488485
1237669703195820132,10.157583327034,8.21842688287258,-5.237816,18.17097,17.59287,17.40645,17.26937,15.895,16.012,18.18194,17.59917,17.40514,11.939,9999,16.376,0.12,16.062,0.179,15.787,9999,19.63473,8.724818E-05
1237669766546456590,6.96448048668378,7.15670259245822,-32.18521,16.30152,15.86957,15.7364,15.68203,14.414,14.43,16.33159,15.86118,15.73656,12.604,9999,14.871,0.04,14.489,0.055,14.452,0.087,17.51923,-4.403834E-05
1237669766546849954,7.88684040731653,7.15175415060595,-10.07214,18.18458,17.53999,17.30273,17.1729,15.608,15.503,18.19675,17.53258,17.31951,12.344,9999,16.168,0.094,15.805,0.167,15.477,0.2,19.76482,0.0002083131
1237669767083458730,7.33541214796935,7.50819949331421,-1.041888,19.08277,17.56364,16.7011,16.2133,14.083,13.923,19.09219,17.57957,16.70216,11.985,9999,14.99,0.043,14.58,0.055,14.403,0.07,21.68608,-0.0002441621
1237669767083524240,7.46608457320997,7.66048805779678,-0.2495341,18.30439,17.93542,17.76035,17.72297,16.624,16.683,18.30236,17.95055,17.76111,12.419,9999,9999,9999,9999,9999,9999,9999,19.21782,-0.000363489
1237669767083720858,7.91571157981548,7.63996131536911,-8.233416,18.44129,17.80713,17.59072,17.47285,16.022,16.301,18.4385,17.80699,17.58341,12.278,9999,16.456,0.114,15.832,0.168,15.114,9999,20.04969,-0.0002460943
1237669767083852196,8.24723399887046,7.68443185856181,-34.27682,20.99618,19.47235,18.4097,17.81024,15.68,16.015,21.04849,19.5024,18.45098,12.056,9999,16.44,0.144,15.789,0.167,15.457,0.218,23.62719,3.883112E-05
1237669767620198670,7.02493509566045,7.9995635413019,-0.4358754,21.249,19.60878,18.38868,17.69686,15.436,15.348,21.24229,19.62682,18.39777,12.53,9999,16.162,0.091,16.2,0.236,15.593,0.232,23.17151,0.0001783235
1237672793959235702,0.287838273693239,-4.76408697566253,-0.8858725,19.0245,18.44334,18.25554,18.15385,16.939,16.485,19.03045,18.45331,18.25072,12.163,0.35,9999,9999,9999,9999,9999,9999,20.55302,-3.830053E-05
1237672793965527124,6.73171797291994,-17.7522044416539,-109.4896,15.7312,15.19263,14.98632,14.91984,13.47,13.535,15.7399,15.181,15.0027,12.684,9999,14.084,0.032,13.617,0.036,13.561,0.045,17.31382,3.81001E-05
