ID,ra,dec,istar,gmag,rmag,imag,zmag,W1,W2,psfgmag,psfrmag,psfimag,W3,W3err,J,Jerr,H,Herr,K,Kerr,umag,zs
1237652629098594422,0.103926199282753,-10.800479060277,-1398.27,18.85952,17.77641,17.33124,16.95429,14.508,14.405,19.4147,18.38049,17.95317,12.631,9999,16.094,0.092,15.559,0.121,14.632,0.099,21.78495,0.1506151
1237652629098594439,359.983908413265,-10.6687211110543,-665.7564,19.83184,18.32057,17.76698,17.44014,14.66,14.378,20.42166,18.9501,18.4051,12.298,9999,16.782,0.134,15.784,0.121,15.108,0.16,21.69987,0.2972116
1237652629098594441,0.0118873896683311,-10.6322860163505,-305.9987,20.30268,18.71576,18.11688,17.73207,14.893,14.501,21.0279,19.45642,18.87233,12.747,9999,17.048,0.174,16.345,0.211,15.188,0.154,21.96021,0.2974945
1237652629098594532,359.964404719591,-10.6934607279321,-19.66575,21.67201,20.68332,19.57462,19.40093,15.487,15.365,22.34626,21.54968,20.4413,12.348,9999,9999,9999,9999,9999,9999,9999,21.51355,0.6746665
1237652629098594805,359.964883831805,-10.7204608744746,-16.43247,22.01367,20.39557,19.20677,18.61061,15.031,14.883,22.94317,21.50536,20.27497,12.048,9999,9999,9999,9999,9999,9999,9999,23.10633,0.686406
1237652629098659880,0.125006720563917,-10.640275568585,-5330.34,17.28366,16.86925,16.62678,16.46764,14.539,14.166,18.63799,18.34983,18.23754,10.255,0.066,16.63,0.139,16.074,0.18,15.455,0.187,18.21175,0.1505057
1237652629098659892,0.144313904005031,-10.6582534356048,-2643.282,18.59206,17.43921,16.97589,16.57345,14.13,13.863,19.38314,18.28926,17.8753,12.595,9999,15.902,0.079,15.066,0.087,14.551,0.094,20.6359,0.1498785
1237652629098659908,0.196349904881913,-10.802504122022,-8980.63,17.0157,16.70824,16.45555,16.37733,14.51,14.213,18.65288,18.41601,18.28435,10.497,0.079,16.898,0.185,16.021,0.188,14.675,9999,18.08495,0.06147915
1237652629098660098,0.147040240157381,-10.6459880241245,-11.25815,21.99401,21.01175,19.93476,19.37901,15.708,15.646,22.65185,21.77004,20.77892,12.748,9999,9999,9999,9999,9999,9999,9999,22.04991,0.6804312
1237652629098660280,0.240819538078554,-10.6578068014176,-48.79452,22.09775,20.46095,19.16647,18.5644,14.841,14.681,22.88431,21.3832,20.19236,12.328,0.419,9999,9999,9999,9999,9999,9999,26.85137,0.5450323
1237652629098660376,0.169224227222657,-10.6717565049241,-9.355594,22.52282,20.33121,19.23529,18.86129,15.733,15.495,23.55094,21.38768,20.27402,12.654,9999,9999,9999,9999,9999,9999,9999,22.37117,0.5547621
1237652629098660443,0.24774559027432,-10.6127660147316,-4.150079,22.03236,20.92823,19.40884,18.87532,15.388,15.357,22.90946,21.97171,20.41966,12.637,9999,9999,9999,9999,9999,9999,9999,24.23411,0.7050975
1237652629098660459,0.257942082701646,-10.6747109620707,-5.904791,22.5917,21.27713,20.18689,19.80684,16.068,16.221,22.80854,21.53373,20.47797,12.715,9999,9999,9999,9999,9999,9999,9999,26.22294,0.5410516
1237652629098725413,0.331219169108422,-10.6821063138387,-38.54912,22.66754,20.4974,19.22174,18.53726,14.799,14.571,23.10305,21.25298,19.99607,12.398,9999,17.29,0.212,16.579,0.237,15.42,0.197,25.84493,0.5520806
1237652629098725589,0.402704922131775,-10.6052106096762,-4437.15,17.88557,17.23262,16.85912,16.59433,14.45,14.135,19.7588,19.16926,18.82254,10.66,0.09,16.749,0.157,15.946,0.21,14.544,9999,18.97815,0.1338084
1237652629098725591,0.407720684530148,-10.6242901397262,-595.3639,19.91882,18.3819,17.81054,17.41026,14.687,14.244,20.76643,19.29305,18.748,12.258,0.378,16.83,0.146,16.006,0.182,15.314,0.165,22.48203,0.2517878
1237652629098726093,0.326184492267032,-10.6588584712348,-6.569777,22.53497,20.90928,19.82613,19.31386,15.535,15.385,22.78717,21.2242,20.15855,12.644,9999,9999,9999,9999,9999,9999,9999,22.45559,0.5412698
1237652629098791039,0.416146192901351,-10.7670707557212,-1491.168,19.15503,17.71144,17.15158,16.80313,14.2,14.007,20.18,18.80234,18.22477,12.035,9999,16.445,0.104,15.397,0.113,14.901,0.122,21.89241,0.2465271
1237652629098791050,0.426264079208337,-10.7585660136144,-1904.174,19.03753,17.678,17.14565,16.78271,14.113,13.801,20.09483,18.77204,18.27713,12.136,0.338,16.447,0.129,15.549,0.137,14.868,0.111,21.72309,0.2372281
1237652629098791240,0.445915099667801,-10.6259976363836,-218.2061,20.62981,18.87358,18.26923,17.82002,14.953,14.589,21.39505,19.71494,19.09709,12.61,0.475,17.139,0.188,16.358,0.236,15.57,0.214,22.6125,0.3152294
1237652629098791469,0.544447476366983,-10.6165733711661,-37.10144,21.46351,19.90351,18.89688,18.54691,15.21,15.335,22.5002,20.9455,19.92203,12.684,9999,9999,9999,9999,9999,9999,9999,26.31462,0.5435234
1237652629098791678,0.547351305761154,-10.7658778092958,-10.27991,24.09516,21.70797,20.3154,19.78609,15.664,15.547,24.22853,21.97403,20.60152,12.489,9999,9999,9999,9999,9999,9999,9999,26.91146,0.6462218
1237652629098856576,0.572548131474647,-10.6780633798729,-5847.49,17.77718,16.86479,16.43566,16.06531,13.833,13.863,18.61659,17.73991,17.38176,12.586,0.504,15.425,0.058,14.796,0.074,14.245,0.078,19.74486,0.07764273
